game_date_est,game_sequence,game_id,team_id_home,team_abbreviation_home,team_city_name_home,team_nickname_home,team_wins_losses_home,pts_qtr1_home,pts_qtr2_home,pts_qtr3_home,pts_qtr4_home,pts_ot1_home,pts_ot2_home,pts_ot3_home,pts_ot4_home,pts_ot5_home,pts_ot6_home,pts_ot7_home,pts_ot8_home,pts_ot9_home,pts_ot10_home,pts_home,team_id_away,team_abbreviation_away,team_city_name_away,team_nickname_away,team_wins_losses_away,pts_qtr1_away,pts_qtr2_away,pts_qtr3_away,pts_qtr4_away,pts_ot1_away,pts_ot2_away,pts_ot3_away,pts_ot4_away,pts_ot5_away,pts_ot6_away,pts_ot7_away,pts_ot8_away,pts_ot9_away,pts_ot10_away,pts_away
20121020000000,7.0,11200080,1610612762,UTA,Utah,Jazz,42,26.0,28.0,26.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1610612746,LAC,LosAngeles,Clippers,23,23.0,23.0,19.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0
20121021000000,1.0,11200085,1610612759,SAS,SanAntonio,Spurs,33,24.0,17.0,31.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,1610612753,ORL,Orlando,Magic,24,22.0,28.0,29.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0
20121021000000,2.0,11200088,1610612755,PHI,Philadelphia,76ers,51,21.0,30.0,15.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1610612738,BOS,Boston,Celtics,35,22.0,19.0,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
20121021000000,4.0,11200086,1610612758,SAC,Sacramento,Kings,41,28.0,18.0,28.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,1610612747,LAL,LosAngeles,Lakers,06,29.0,28.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
20121021000000,3.0,11200087,1610612743,DEN,Denver,Nuggets,32,19.0,31.0,31.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,1610612760,OKC,OklahomaCity,Thunder,32,30.0,27.0,24.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0
20121022000000,4.0,11200090,1610612756,PHX,Phoenix,Suns,32,21.0,29.0,26.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1610612758,SAC,Sacramento,Kings,42,25.0,19.0,21.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
20121022000000,1.0,11200089,1610612761,TOR,Toronto,Raptors,51,23.0,24.0,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,1610612749,MIL,Milwaukee,Bucks,24,27.0,21.0,29.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0
20121022000000,6.0,11200094,1610612746,LAC,LosAngeles,Clippers,33,27.0,25.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1610612744,GSW,GoldenState,Warriors,52,19.0,20.0,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0
20121022000000,2.0,11200092,1610612755,PHI,Philadelphia,76ers,61,26.0,36.0,14.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,1610612752,NYK,NewYork,Knicks,23,23.0,21.0,28.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0
20121023000000,4.0,11200098,1610612756,PHX,Phoenix,Suns,33,28.0,18.0,25.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1610612744,GSW,GoldenState,Warriors,62,25.0,30.0,24.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0
