game_id,game_date,attendance,game_time
29600548,19970119000000,16285.0,214
29600546,19970119000000,15200.0,213
29600550,19970119000000,21166.0,218
29600553,19970120000000,13223.0,201
29600552,19970120000000,19763.0,204
29600556,19970120000000,10220.0,208
29600560,19970120000000,17072.0,209
29600557,19970120000000,19911.0,215
29600554,19970120000000,16378.0,154
29600558,19970120000000,19023.0,210
29600561,19970121000000,17248.0,213
29600566,19970121000000,14278.0,216
29600562,19970121000000,14853.0,211
29600564,19970121000000,15859.0,201
29600567,19970121000000,13777.0,207
29600565,19970121000000,23902.0,214
29600563,19970121000000,24042.0,219
29600568,19970121000000,20138.0,209
29600569,19970122000000,15657.0,232
29600573,19970122000000,17317.0,224
29600570,19970122000000,12802.0,203
29600571,19970122000000,8422.0,154
29600574,19970122000000,17072.0,227
29600582,19970123000000,15282.0,155
29600579,19970123000000,16285.0,202
29600581,19970123000000,16187.0,149
29600577,19970123000000,20562.0,208
29600578,19970123000000,16405.0,232
29600580,19970123000000,16227.0,234
29600575,19970123000000,17248.0,214
29600583,19970124000000,17530.0,238
29600585,19970124000000,24042.0,248
29600586,19970124000000,15325.0,214
29600589,19970124000000,6074.0,000
29600584,19970124000000,13428.0,200
29600587,19970124000000,13695.0,208
29600588,19970124000000,19023.0,214
29600596,19970125000000,23913.0,157
29600598,19970125000000,16285.0,229
29600591,19970125000000,18756.0,211
29600600,19970125000000,17102.0,211
29600593,19970125000000,18547.0,158
29600595,19970125000000,16554.0,210
29600594,19970125000000,21454.0,205
29600592,19970125000000,16378.0,206
29600599,19970125000000,21314.0,202
29600603,19970126000000,17072.0,232
29600602,19970126000000,13179.0,203
29600604,19970127000000,14809.0,155
29600605,19970127000000,12839.0,202
29600611,19970128000000,14487.0,208
29600608,19970128000000,18756.0,157
29600614,19970128000000,19911.0,207
29600613,19970128000000,18042.0,204
29600609,19970128000000,15327.0,204
29600606,19970128000000,19763.0,214
29600616,19970128000000,19193.0,155
29600610,19970128000000,14484.0,227
29600607,19970128000000,11283.0,160
29600612,19970128000000,14119.0,208
29600623,19970129000000,25570.0,218
29600620,19970129000000,24042.0,202
29600622,19970129000000,20128.0,216
29600617,19970129000000,11251.0,208
29600618,19970129000000,17248.0,213
29600619,19970129000000,14509.0,206
29600624,19970129000000,16704.0,208
29600621,19970129000000,18062.0,211
29600629,19970130000000,5122.0,215
29600630,19970130000000,17317.0,202
29600625,19970130000000,15540.0,212
29600628,19970130000000,19911.0,206
29600636,19970131000000,18748.0,152
29600631,19970131000000,15607.0,205
29600637,19970131000000,17072.0,216
29600635,19970131000000,13564.0,215
29600633,19970131000000,24042.0,212
29600632,19970131000000,17807.0,201
29600638,19970131000000,15205.0,200
29600634,19970131000000,16702.0,204
29600640,19970201000000,19405.0,207
29600639,19970201000000,20049.0,155
29600644,19970201000000,10821.0,213
29600645,19970201000000,7767.0,206
29600643,19970201000000,17185.0,216
29600641,19970201000000,19974.0,213
29600642,19970201000000,18486.0,218
29600651,19970202000000,15748.0,211
