person_id,player_name,season,round_number,round_pick,overall_pick,draft_type,team_id,team_city,team_name,team_abbreviation,organization,organization_type,player_profile_flag
79324,NormanCarey,1948,0,0,0,Draft,1610612738,Boston,Celtics,BOS,OregonState,CollegeUniversity,0
79325,BobCurran,1948,0,0,0,Draft,1610612738,Boston,Celtics,BOS,HolyCross,CollegeUniversity,0
79326,NeilDooley,1948,0,0,0,Draft,1610612738,Boston,Celtics,BOS,Colgate,CollegeUniversity,0
79328,JackHauser,1948,0,0,0,Draft,1610612738,Boston,Celtics,BOS,Denver,CollegeUniversity,0
79329,GuinnPhillips,1948,0,0,0,Draft,1610612738,Boston,Celtics,BOS,TexasWesleyan,CollegeUniversity,0
79330,RayWehde,1948,0,0,0,Draft,1610612738,Boston,Celtics,BOS,IowaState,CollegeUniversity,0
79331,MickeyMarty,1948,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Loras,CollegeUniversity,0
79332,EdMills,1948,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Wisconsin,CollegeUniversity,0
79333,DonReagan,1948,0,0,0,Draft,1610610025,Chicago,Stags,CHS,MurrayState,CollegeUniversity,0
79334,JoeShafer,1948,0,0,0,Draft,1610610025,Chicago,Stags,CHS,WheatonIL,CollegeUniversity,0
79335,FredWeber,1948,0,0,0,Draft,1610610025,Chicago,Stags,CHS,Siena,CollegeUniversity,0
79336,LelandByrd,1948,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,WestVirginia,CollegeUniversity,0
79337,KeithGrimes,1948,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,EastCentral,CollegeUniversity,0
79338,JohnStanisch,1948,0,0,0,Draft,1610612752,NewYork,Knicks,NYK,CaliforniaLosAngeles,CollegeUniversity,0
79339,WilliamBrown,1948,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,Maryland,CollegeUniversity,0
79340,HughCompton,1948,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,Louisville,CollegeUniversity,0
79341,JoeNelson,1948,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,BrighamYoung,CollegeUniversity,0
79342,ClintPace,1948,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,Pepperdine,CollegeUniversity,0
79343,TomShort,1948,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,KansasWesleyan,CollegeUniversity,0
79344,JoeWahl,1948,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,Akron,CollegeUniversity,0
79345,AndyWolfe,1948,0,0,0,Draft,1610612744,Philadelphia,Warriors,PHW,California,CollegeUniversity,0
79346,ALBennett,1948,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,OklahomaState,CollegeUniversity,0
79347,EdFaber,1948,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,TrinityTX,CollegeUniversity,0
79348,VerlHeap,1948,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,ArizonaState,CollegeUniversity,0
79349,OttoSnellbacher,1948,0,0,0,Draft,1610610032,Providence,Steamrollers,PRO,Kansas,CollegeUniversity,0
79350,GordonFlick,1948,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,Drake,CollegeUniversity,0
79352,JohnHoppin,1948,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,Dickinson,CollegeUniversity,0
79353,DanLondon,1948,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,WashingtonMO,CollegeUniversity,0
79354,DMiller,1948,0,0,0,Draft,1610610034,StLouis,Bombers,BOM,SaintLouis,CollegeUniversity,0
79355,FredBartell,1948,0,0,0,Draft,1610610036,Washington,Capitols,WAS,Oregon,CollegeUniversity,0
