game_date_est,game_sequence,game_id,game_status_id,game_status_text,gamecode,home_team_id,visitor_team_id,season,live_period,live_pc_time,natl_tv_broadcaster_abbreviation,live_period_time_bcast,wh_status
20211013000000,2.0,12100048,3,Final,20211013DALCHA,1610612766,1610612742,2021,4,,ESPN,Q4ESPN,1
20211013000000,7.0,12100053,3,Final,20211013MILUTA,1610612762,1610612749,2021,4,,NBATV,Q4NBATV,1
20220416000000,2.0,42100151,3,Final,20220416MINMEM,1610612763,1610612750,2021,4,,ESPN,Q4ESPN,1
20220416000000,4.0,42100161,3,Final,20220416DENGSW,1610612744,1610612743,2021,4,,ABC,Q4ABC,1
20220418000000,2.0,42100172,3,Final,20220418UTADAL,1610612742,1610612762,2021,4,,NBATV,Q4NBATV,1
20220418000000,3.0,42100162,3,Final,20220418DENGSW,1610612744,1610612743,2021,4,,TNT,Q4TNT,1
20220419000000,2.0,42100152,3,Final,20220419MINMEM,1610612763,1610612750,2021,4,,NBATV,Q4NBATV,1
20220419000000,1.0,42100102,3,Final,20220419ATLMIA,1610612748,1610612737,2021,4,,TNT,Q4TNT,1
20220420000000,1.0,42100112,3,Final,20220420BKNBOS,1610612738,1610612751,2021,4,,TNT,Q4TNT,1
20220420000000,2.0,42100133,3,Final,20220420PHITOR,1610612761,1610612755,2021,5,,NBATV,Q5NBATV,1
20220421000000,1.0,42100153,3,Final,20220421MEMMIN,1610612750,1610612763,2021,4,,TNT,Q4TNT,1
20220421000000,2.0,42100173,3,Final,20220421DALUTA,1610612762,1610612742,2021,4,,NBATV,Q4NBATV,1
20220421000000,3.0,42100163,3,Final,20220421GSWDEN,1610612743,1610612744,2021,4,,TNT,Q4TNT,1
20220422000000,1.0,42100103,3,Final,20220422MIAATL,1610612737,1610612748,2021,4,,ESPN,Q4ESPN,1
20220422000000,3.0,42100143,3,Final,20220422PHXNOP,1610612740,1610612756,2021,4,,ESPN,Q4ESPN,1
20220423000000,1.0,42100134,3,Final,20220423PHITOR,1610612761,1610612755,2021,4,,TNT,Q4TNT,1
20220423000000,3.0,42100113,3,Final,20220423BOSBKN,1610612751,1610612738,2021,4,,ESPN,Q4ESPN,1
20220424000000,3.0,42100104,3,Final,20220424MIAATL,1610612737,1610612748,2021,4,,TNT,Q4TNT,1
20220424000000,4.0,42100144,3,Final,20220424PHXNOP,1610612740,1610612756,2021,4,,TNT,Q4TNT,1
20220424000000,2.0,42100164,3,Final,20220424GSWDEN,1610612743,1610612744,2021,4,,ABC,Q4ABC,1
20220425000000,2.0,42100135,3,Final,20220425TORPHI,1610612755,1610612761,2021,4,,NBATV,Q4NBATV,1
20220426000000,2.0,42100155,3,Final,20220426MINMEM,1610612763,1610612750,2021,4,,TNT,Q4TNT,1
20220426000000,3.0,42100145,3,Final,20220426NOPPHX,1610612756,1610612740,2021,4,,TNT,Q4TNT,1
20220426000000,1.0,42100105,3,Final,20220426ATLMIA,1610612748,1610612737,2021,4,,NBATV,Q4NBATV,1
20220427000000,2.0,42100125,3,Final,20220427CHIMIL,1610612749,1610612741,2021,4,,TNT,Q4TNT,1
20220427000000,3.0,42100165,3,Final,20220427DENGSW,1610612744,1610612743,2021,4,,TNT,Q4TNT,1
20220428000000,4.0,42100176,3,Final,20220428DALUTA,1610612762,1610612742,2021,4,,TNT,Q4TNT,1
20220428000000,2.0,42100136,3,Final,20220428PHITOR,1610612761,1610612755,2021,4,,NBATV,Q4NBATV,1
20220428000000,3.0,42100146,3,Final,20220428PHXNOP,1610612740,1610612756,2021,4,,TNT,Q4TNT,1
20220501000000,6.0,42100231,3,Final,20220501GSWMEM,1610612763,1610612744,2021,4,,ABC,Q4ABC,1
20220502000000,2.0,42100221,3,Final,20220502DALPHX,1610612756,1610612742,2021,4,,TNT,Q4TNT,1
20220503000000,1.0,42100212,3,Final,20220503MILBOS,1610612738,1610612749,2021,4,,TNT,Q4TNT,1
20220504000000,1.0,42100202,3,Final,20220504PHIMIA,1610612748,1610612755,2021,4,,TNT,Q4TNT,1
20220504000000,2.0,42100222,3,Final,20220504DALPHX,1610612756,1610612742,2021,4,,TNT,Q4TNT,1
20220506000000,2.0,42100223,3,Final,20220506PHXDAL,1610612742,1610612756,2021,4,,ESPN,Q4ESPN,1
20220506000000,1.0,42100203,3,Final,20220506MIAPHI,1610612755,1610612748,2021,4,,ESPN,Q4ESPN,1
20220507000000,1.0,42100213,3,Final,20220507BOSMIL,1610612749,1610612738,2021,4,,ABC,Q4ABC,1
20220508000000,1.0,42100224,3,Final,20220508PHXDAL,1610612742,1610612756,2021,4,,ESPN,Q4ESPN,1
